timestamp,code,value,volume,turn
2019-11-25,300462,22.16,3004401,3.883
2019-11-26,300462,22.3,2642741,3.4156
2019-11-27,300462,22.36,2032260,2.6266
2019-11-28,300462,22.23,1128548,1.4586
2019-11-29,300462,22.1,1226300,1.5849
2019-12-02,300462,21.77,2732383,3.5315
2019-12-03,300462,22.04,1922083,2.4842
2019-12-04,300462,21.88,1171466,1.5141
2019-12-05,300462,22.59,3438900,4.4446
2019-12-06,300462,22.48,1907300,2.4651
2019-12-09,300462,22.09,2391998,3.0915
2019-12-10,300462,22.21,1954697,2.5263
2019-12-11,300462,22.02,1667300,2.1549
2019-12-12,300462,21.75,1620400,2.0943
2019-12-13,300462,21.9,1624800,2.1
2019-12-16,300462,23.52,5177501,6.6917
2019-12-17,300462,23.95,5137380,6.6398
2019-12-18,300462,24.39,4698565,6.0727
2019-12-19,300462,26,5573948,7.2041
2019-12-20,300462,25.81,4109757,5.3117
2019-12-23,300462,25.49,2395328,3.0958
2019-12-24,300462,25.52,1990620,2.5728
2019-12-25,300462,25.82,2602420,3.3635
2019-12-26,300462,25.88,1717716,2.2201
2019-12-27,300462,24.86,2607857,3.3705
2019-12-30,300462,25.23,2401800,3.1042
2019-12-31,300462,25.81,2447300,3.163
2020-01-02,300462,26.15,3170566,4.0978
2020-01-03,300462,26.16,2305396,2.9796
2020-01-06,300462,25.63,2344359,3.03
2020-01-07,300462,25.53,2832798,3.6613
2020-01-08,300462,28.08,1619900,2.0936
2020-01-09,300462,30.89,14302998,18.4859
2020-01-10,300462,30.69,12593684,16.2767
2020-01-13,300462,32.22,11114167,14.3645
2020-01-14,300462,30.04,11816552,15.2723
2020-01-15,300462,29.48,4366987,5.6441
2020-01-16,300462,28.91,4426808,5.7214
2020-01-17,300462,28.02,5964646,7.709
2020-01-20,300462,27.23,7103050,9.1803
2020-01-21,300462,26.71,3996387,5.1651
2020-01-22,300462,26.9,3778752,4.8839
2020-01-23,300462,26.25,4378080,5.6585
2020-02-03,300462,23.63,336200,0.4345
2020-02-04,300462,22.69,6053550,7.8239
2020-02-05,300462,23.58,4545754,5.8752
2020-02-06,300462,23.75,4301294,5.5592
2020-02-07,300462,23.92,5165500,6.6762
2020-02-10,300462,24.17,4139559,5.3502
2020-02-11,300462,24.94,5985095,7.7354
2020-02-12,300462,25.28,4891894,6.3225
2020-02-13,300462,24.58,3948890,5.1037
2020-02-14,300462,24.65,2686059,3.4716
2020-02-17,300462,25.67,5100759,6.5925
2020-02-18,300462,26.35,4904935,6.3394
2020-02-19,300462,25.87,4623384,5.9755
2020-02-20,300462,26.51,5539918,7.1601
2020-02-21,300462,27.02,5930594,7.665
2020-02-24,300462,27.83,5657190,7.3116
2020-02-25,300462,27.07,7029140,9.0848
2020-02-26,300462,26.2,4984500,6.4422
2020-02-27,300462,26.21,3286910,4.2482
2020-02-28,300462,24.11,5088380,6.5765
2020-03-02,300462,25.95,4572480,5.9097
2020-03-03,300462,26.35,4516267,5.8371
2020-03-04,300462,26.7,3357400,4.3393
2020-03-05,300462,26.78,3581600,4.629
2020-03-06,300462,28.32,8472869,10.9508
2020-03-09,300462,26.97,7018400,9.0709
2020-03-10,300462,28.35,6287967,8.1269
2020-03-11,300462,27.11,5578500,7.2099
